City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sandnessjoen,66.0217,12.6316,277.21,87,40,1.54,NO,1697171649
1,sisimiut,66.9395,-53.6735,274.06,72,100,4.9,GL,1697171474
2,tlahualilo de zaragoza,26.1167,-103.45,297.4,47,4,1.83,MX,1697171649
3,wailua homesteads,22.0669,-159.378,301.39,75,20,6.17,US,1697171649
4,adamstown,-25.066,-130.1015,294.14,68,93,4.74,PN,1697171649
5,lander,42.833,-108.7307,278.6,87,100,3.6,US,1697171524
6,albany,42.6001,-73.9662,282.82,76,26,0.89,US,1697171401
7,waitangi,-43.9535,-176.5597,285.83,79,100,1.34,NZ,1697171649
8,invercargill,-46.4,168.35,290.18,51,23,4.73,NZ,1697171650
9,port lincoln,-34.7333,135.8667,290.76,61,20,6.46,AU,1697171525
10,balikpapan,-1.2675,116.8289,303.7,74,40,4.12,ID,1697171650
11,chhor,25.5167,69.7667,304.75,38,0,6.38,PK,1697171650
12,bilibino,68.0546,166.4372,266.46,89,100,1.63,RU,1697171650
13,malango,-2.9627,119.9001,300.78,57,64,2.0,ID,1697171650
14,haiku-pauwela,20.9219,-156.3051,298.17,80,40,7.72,US,1697171650
15,amga,60.8953,131.9608,275.36,97,95,0.89,RU,1697171650
16,yemel'yanovo,56.1681,92.6767,277.86,93,75,11.18,RU,1697171650
17,rexburg,43.826,-111.7897,281.14,74,20,1.54,US,1697171650
18,ginir,7.1333,40.7,290.77,76,58,1.37,ET,1697171650
19,port-aux-francais,-49.35,70.2167,276.19,76,93,9.45,TF,1697171650
20,marion,39.7684,-86.1555,290.26,73,0,4.63,US,1697171459
21,eyl,7.9803,49.8164,301.22,73,32,2.25,SO,1697171650
22,mejit,10.2753,170.8646,301.21,77,95,3.85,MH,1697171651
23,codrington,-38.2667,141.9667,287.26,82,100,7.82,AU,1697171651
24,aasiaat,68.7098,-52.8699,268.96,91,100,2.81,GL,1697171651
25,edinburgh of the seven seas,-37.0676,-12.3116,286.09,83,100,5.23,SH,1697171651
26,fortaleza,-3.7227,-38.5247,300.49,78,40,6.17,BR,1697171401
27,lihue,21.9789,-159.3672,301.73,75,20,6.17,US,1697171651
28,yellowknife,62.456,-114.3525,280.6,100,100,2.06,CA,1697171651
29,qaqortoq,60.7167,-46.0333,275.31,68,93,2.41,GL,1697171651
30,papao,-17.75,-149.55,300.97,81,7,8.07,PF,1697171651
31,blackmans bay,-43.0167,147.3167,289.22,50,82,1.34,AU,1697171651
32,crane,31.3974,-102.3501,297.44,30,0,2.93,US,1697171651
33,dauphin,51.1494,-100.0502,282.23,76,100,5.14,CA,1697171651
34,isafjordur,66.0755,-23.124,271.87,87,100,10.33,IS,1697171651
35,talnakh,69.4865,88.3972,272.71,95,100,2.1,RU,1697171652
36,hammerfest,70.6634,23.6821,273.4,100,40,1.03,NO,1697171652
37,whitehorse,60.7161,-135.0538,279.58,88,75,9.26,CA,1697171652
38,kenai,60.5544,-151.2583,276.56,98,100,0.0,US,1697171652
39,chimbote,-9.0853,-78.5783,291.11,88,70,2.93,PE,1697171652
40,grytviken,-54.2811,-36.5092,269.71,81,96,2.28,GS,1697171652
41,hengchun,22.0042,120.7439,301.06,68,12,5.43,TW,1697171652
42,nagqu,31.5,92.0,276.68,13,0,3.12,CN,1697171652
43,aitape,-3.1374,142.3475,303.11,72,84,3.45,PG,1697171652
44,atafu village,-8.5421,-172.5159,301.68,78,100,8.0,TK,1697171652
45,tofol,5.3248,163.0078,301.57,74,54,3.25,FM,1697171652
46,greymouth,-42.4667,171.2,285.87,89,90,3.53,NZ,1697171652
47,jamestown,42.097,-79.2353,281.88,88,0,2.57,US,1697171646
48,meadow lake,34.8014,-106.5436,284.78,27,0,3.92,US,1697171653
49,safotu,-13.4513,-172.4018,300.93,82,45,8.89,WS,1697171653
50,sao joao da barra,-21.6403,-41.0511,295.96,88,55,7.3,BR,1697171653
51,suva,-18.1416,178.4415,298.86,69,75,3.6,FJ,1697171653
52,vila velha,-20.3297,-40.2925,297.12,82,0,5.14,BR,1697171530
53,puerto natales,-51.7236,-72.4875,277.25,96,60,3.07,CL,1697171475
54,utrik,11.2278,169.8474,301.35,77,45,5.0,MH,1697171653
55,pajan,-1.5667,-80.4167,297.1,83,92,1.66,EC,1697171653
56,ketchikan,55.3422,-131.6461,289.14,76,100,2.57,US,1697171653
57,margaret river,-33.95,115.0667,295.1,48,0,4.48,AU,1697171654
58,alo,7.4178,6.7371,296.73,97,99,1.3,NG,1697171654
59,hithadhoo,-0.6,73.0833,300.7,72,80,5.42,MV,1697171654
60,hermanus,-34.4187,19.2345,286.52,74,3,2.48,ZA,1697171654
61,rongelap,11.1635,166.8941,301.44,75,75,3.46,MH,1697171654
62,longyearbyen,78.2186,15.6401,272.06,74,75,3.09,SJ,1697171654
63,vernon,50.2581,-119.2691,283.89,78,4,2.57,CA,1697171407
64,hirara,24.8,125.2833,302.07,57,20,5.66,JP,1697171654
65,avarua,-21.2078,-159.775,297.18,78,100,2.06,CK,1697171654
66,kayenta,36.7278,-110.2546,282.56,30,0,1.86,US,1697171654
67,namibe,-15.1961,12.1522,291.98,84,70,1.79,AO,1697171654
68,iskateley,67.6803,53.1512,274.27,76,100,4.02,RU,1697171654
69,ilulissat,69.2167,-51.1,271.16,59,100,2.57,GL,1697171655
70,fale old settlement,-9.3852,-171.2468,301.88,77,32,8.59,TK,1697171655
71,revda,56.801,59.9303,275.03,95,100,7.1,RU,1697171655
72,shushenskoye,53.325,91.9356,284.4,69,100,7.05,RU,1697171655
73,lata,40.1629,-8.3327,290.97,43,100,1.4,PT,1697171655
74,vikulovo,56.8167,70.6107,277.8,62,97,8.78,RU,1697171655
75,san andres,12.5847,-81.7006,301.16,89,20,1.03,CO,1697171655
76,yuzhno-kurilsk,44.0306,145.8556,289.47,57,0,3.76,RU,1697171655
77,yabelo,4.8833,38.0833,291.6,69,23,2.79,ET,1697171655
78,petropavlovsk-kamchatsky,53.0452,158.6483,279.48,73,20,6.71,RU,1697171479
79,oltinko'l,40.8011,72.1634,287.47,52,100,9.09,UZ,1697171655
80,akureyri,65.6835,-18.0878,274.11,86,100,9.26,IS,1697171656
